userId,businessName,businessId,categories,feature1,feature2,feature3,feature4,feature5,weight1,weight2,weigh3,weight4,weight5,stars,address,Description
Ha3iJu77CxlrFm-vQRs_8g,Esther's German Saloon,esthers,german,classic,close,convenient,quiet,big,3,3,3,3,3,3,22 Teutonic Ave.,"German home-cooked meals and fifty-eight different beers on tap. To get more authentic, you'd need to be wearing lederhosen."
Ha3iJu77CxlrFm-vQRs_8g,Robatayaki Hachi,robatayaki,japanese,classic,close,convenient,quiet,big,4,4,4,4,4,5,8 Hawthorne Ln.,"Japanese food the way you like it. Fast, fresh, grilled."
Ha3iJu77CxlrFm-vQRs_8g,BBQ Tofu Paradise,tofuparadise,vegetarian,classic,close,convenient,quiet,big,2,2,2,2,2,1,22A King West,"Vegetarians, we have your BBQ needs covered. Our home-made tofu skewers and secret BBQ sauce will have you licking your fingers."
Ha3iJu77CxlrFm-vQRs_8g,Le Bateau Rouge,bateaurouge,french,classic,close,convenient,quiet,big,5,5,5,5,5,4,2 South Park Dr.,"Fine French dining in a romantic setting. From soupe à l'oignon to coq au vin, let our chef delight you with a local take on authentic favorites."
Ha3iJu77CxlrFm-vQRs_8g,Khartoum Khartoum,khartoum,african,classic,close,convenient,quiet,big,3,3,3,3,3,2,1566 Maple Rd.,"African homestyle cuisine, cooked fresh daily."
Ha3iJu77CxlrFm-vQRs_8g,Sally's Diner,sallys,american,classic,close,convenient,quiet,big,4,4,4,4,4,3,96 College Blvd.,"Food like mom cooked, if you grew up in Iowa and mom ran a diner. Try our blue plate special!"
Ha3iJu77CxlrFm-vQRs_8g,Saucy Piggy,saucy,barbecue,classic,close,convenient,quiet,big,3,3,3,3,3,2,623 Industrial Rd.,"Pork. We know how to cook it. Award-winning BBQ sauce, and meat with all the trimmings."
Ha3iJu77CxlrFm-vQRs_8g,Czech Point,czechpoint,czech/slovak,classic,close,convenient,quiet,big,1,1,1,1,1,4,5567 Queen-Mary Rd,Make a point of trying our knedlíky and homemade soups. We have free wifi and the best desserts and coffee. 
Ha3iJu77CxlrFm-vQRs_8g,Der Speisewagen,speisewagen,german,classic,close,convenient,quiet,big,3,3,3,3,3,5,402 College Blvd.,Award-winning schnitzel and other favorites. Look for our restored food truck in the NE corner of the College St lot.
Ha3iJu77CxlrFm-vQRs_8g,Beijing Express,beijing,chinese,classic,close,convenient,quiet,big,2,2,2,2,2,4,38 Teutonic Ave.,"Fast, healthy, Chinese food. Family specials for takeout or delivery. Try our Peking Duck!"
Ha3iJu77CxlrFm-vQRs_8g,Satay Village,satay,thai,classic,close,convenient,quiet,big,4,4,4,4,4,2,12 High St.,Fine dining Thai-style. Wide selection of vegetarian entrées. We also deliver.
Ha3iJu77CxlrFm-vQRs_8g,Cancun,cancun,mexican,classic,close,convenient,quiet,big,3,3,3,3,3,3,2030 Maple Rd.,"Tacos, tortas, burritos, just the way you like them. Our hot sauce and guacamole are the best in town."
Ha3iJu77CxlrFm-vQRs_8g,Curry Up,curryup,indian,classic,close,convenient,quiet,big,4,4,4,4,4,5,455 University,Indian food with a modern twist. We use all-natural ingredients and the finest spices to delight and tempt your palate.
Ha3iJu77CxlrFm-vQRs_8g,Carthage,carthage,african,classic,close,convenient,quiet,big,2,2,2,2,2,1,59 Court Terrace,Wholesome food and all the rich flavor of Africa. Try our famous lentil soup.
Ha3iJu77CxlrFm-vQRs_8g,Burgerama,burgerama,american,classic,close,convenient,quiet,big,5,5,5,5,5,4,456 University,"Grade A beef, freshly ground every day, hand-cut fries, and home-made milkshakes. We make the best burgers in town. "
Ha3iJu77CxlrFm-vQRs_8g,Three Little Pigs,littlepigs,barbecue,classic,close,convenient,quiet,big,3,3,3,3,3,2,12 Summer Court,Genuine East Texas barbecue. Accept no substitutes! 
Ha3iJu77CxlrFm-vQRs_8g,Little Prague,littleprague,czech/slovak,classic,close,convenient,quiet,big,4,4,4,4,4,3,44 Park Ave,We're famous for our housemade sausage and desserts. Come taste real European cooking.
Ha3iJu77CxlrFm-vQRs_8g,Kohl Haus,kohlhaus,german,classic,close,convenient,quiet,big,3,3,3,3,3,2,3421 Queen-Mary Rd,"East German specialties, in a family-friendly setting. Come warm up with our delicious soups."
Ha3iJu77CxlrFm-vQRs_8g,Dragon's Tail,dragon,chinese,classic,close,convenient,quiet,big,1,1,1,1,1,4,8 Jasmine Rd.,Take-out or dine-in Chinese food. Open late. Delivery available
Ha3iJu77CxlrFm-vQRs_8g,Hit Me Baby One More Thai,babythai,thai,classic,close,convenient,quiet,big,3,3,3,3,3,5,12 Jasmine Rd.,"Thai food with a youthful bar scene. Try our tropical inspired cocktails, or tuck into a plate of our famous pad thai."
Ha3iJu77CxlrFm-vQRs_8g,The Whole Tamale,wholetamale,mexican,classic,close,convenient,quiet,big,2,2,2,2,2,4,401 University,The tamale and hot sauce experts. Tamale special changes daily.
Ha3iJu77CxlrFm-vQRs_8g,Birmingham Bhangra,bhangra,indian,classic,close,convenient,quiet,big,4,4,4,4,4,2,992 Riddick St.,"Curry with a metropolitan twist. Daily specials. Dine-in or takeaway, you choose."
Ha3iJu77CxlrFm-vQRs_8g,Taqueria,taqueria,mexican,classic,close,convenient,quiet,big,3,3,3,3,3,3,12 North Circle Dr.,Taqueria y panaderia. Birria served on weekends.
Ha3iJu77CxlrFm-vQRs_8g,Pedro's,pedros,mexican,classic,close,convenient,quiet,big,4,4,4,4,4,5,5521 Alameda,Pedro's has been an Alameda staple for thirty years. Our list of fine tequilas and slow-cooked carnitas will make you a regular.
Ha3iJu77CxlrFm-vQRs_8g,Super Wonton Express,superwonton,chinese,classic,close,convenient,quiet,big,2,2,2,2,2,1,223 Milliways Ave,"Soups, stir-fries, and more. We cook fast."
Ha3iJu77CxlrFm-vQRs_8g,Naan Sequitur,naansequitur,indian,classic,close,convenient,quiet,big,5,5,5,5,5,4,"Unit 12, Olde Towne Mall","Naan and tandoori specialties, from our clay oven. "
Ha3iJu77CxlrFm-vQRs_9g,Sakura,sakura,japanese,classic,close,convenient,quiet,big,3,3,3,3,3,2,"Unit 18, Olde Towne Mall","Sushi specials daily. We serve fast, friendly, fresh Japanese cuisine."
Ha3iJu77CxlrFm-vQRs_9g,Shandong Lu,shandong,chinese,classic,close,convenient,quiet,big,4,4,4,4,4,3,335 University,Szechuan and Mandarin specialities with a fine dining ambiance. Our hot and sour soup is the best in town.
Ha3iJu77CxlrFm-vQRs_9g,Curry Galore,currygalore,indian,classic,close,convenient,quiet,big,3,3,3,3,3,2,56 Park Ave,"Famous North Indian home cooking. Spicy or mild, as you like it. Delivery available."
Ha3iJu77CxlrFm-vQRs_9g,North by Northwest,north,cafe,classic,close,convenient,quiet,big,1,1,1,1,1,4,201 University,Great coffee and snacks. Free wifi. 
Ha3iJu77CxlrFm-vQRs_9g,Full of Beans,beans,cafe,classic,close,convenient,quiet,big,3,3,3,3,3,5,498 College Ave.,We roast on premises to give you the best cup of coffee in town. 
Ha3iJu77CxlrFm-vQRs_9g,Tropical Jeeve's Cafe,jeeves,cafe,classic,close,convenient,quiet,big,2,2,2,2,2,4,550 Milliways Ave,"Hawaiian style coffee, fresh juices, and tropical fruit smoothies."
Ha3iJu77CxlrFm-vQRs_9g,Zardoz Cafe,zardoz,cafe,classic,close,convenient,quiet,big,4,4,4,4,4,2,6202 Alameda,Coffee bar and sci-fi bookshop. Come in for an espresso or a slice of our famous pie.
Ha3iJu77CxlrFm-vQRs_9g,Angular Pizza,angular,pizza,classic,close,convenient,quiet,big,1,1,1,1,1,5,2232 King St.,Home of the superheroic pizza! 
Ha3iJu77CxlrFm-vQRs_9g,Flavia,flavia,pizza,classic,close,convenient,quiet,big,4,4,4,4,4,5,401 Riddick St.,"Roman-style pizza -- square, the way the gods intended."
Ha3iJu77CxlrFm-vQRs_9g,Luigi's House of Pies,luigis,pizza,classic,close,convenient,quiet,big,2,2,2,2,2,1,5 Garcia Ave.,Our secret pizza sauce makes our pizza better. We specialize in large groups.
Ha3iJu77CxlrFm-vQRs_9g,Thick and Thin,thick,pizza,classic,close,convenient,quiet,big,5,5,5,5,5,4,832 Dominican Ave.,"Whether you're craving Chicago-style deep dish or thin as a wafer crust, we have you covered in toppings you'll love."
Ha3iJu77CxlrFm-vQRs_9g,When in Rome,wheninrome,pizza,classic,close,convenient,quiet,big,3,3,3,3,3,2,234 Valencia St.,Authentic Italian pizza in a friendly neighborhood joint.
Ha3iJu77CxlrFm-vQRs_9g,Pizza 76,pizza76,pizza,classic,close,convenient,quiet,big,4,4,4,4,4,3,76 Market St.,Wood-fired pizza with daily ingredients fresh from our farmer's market. We make our own mozzarella in house.
